Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1J,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,,,,,4195
M1J,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,,,,,1470
M1J,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with relatives,,,,390
M1J,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with non-relatives only,,,,120
M1J,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living alone,,,,955
M1J,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of census family persons aged 65 years and over,,,,,2730
M1J,Household and dwelling characteristics,Total number of private households by household type,,,,,,12320
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,,,,,9220
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,,,,7650
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,,,5520
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,Without children,,1720
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,With children,,3800
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Lone-parent-family households,,,2130
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,,,,1570
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,,,1030
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,,630
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,Without children,155
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,With children,475
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Lone-parent-family households,,400
M1J,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,Two-or-more-family households,,,540
M1J,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,,,,,3100
M1J,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,One-person households,,,,2535
M1J,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,Two-or-more-person households,,,,565
M1J,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,,,,,,12320
M1J,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Single-detached house,,,,,2900
M1J,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,"Apartment, building that has five or more storeys",,,,,7180
M1J,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Movable dwelling,,,,,0
M1J,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,,,,,2240
M1J,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Semi-detached house,,,,140
M1J,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Row house,,,,645
M1J,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,"Apartment, duplex",,,,1070
M1J,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,"Apartment, building that has fewer than five storeys",,,,380
M1J,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Other single-attached house,,,,10
M1J,Household and dwelling characteristics,Total number of private households by household size,,,,,,12320
M1J,Household and dwelling characteristics,Total number of private households by household size,1 person,,,,,2535
M1J,Household and dwelling characteristics,Total number of private households by household size,2 persons,,,,,3265
M1J,Household and dwelling characteristics,Total number of private households by household size,3 persons,,,,,2400
M1J,Household and dwelling characteristics,Total number of private households by household size,4 persons,,,,,2265
M1J,Household and dwelling characteristics,Total number of private households by household size,5 persons,,,,,1110
M1J,Household and dwelling characteristics,Total number of private households by household size,6 or more persons,,,,,755
M1J,Household and dwelling characteristics,Number of persons in private households,,,,,,35825
M1J,Household and dwelling characteristics,Average number of persons in private households,,,,,,2.9
M1K,Household and dwelling characteristics,Total number of persons in private households,,,,,,47120
M1K,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,,,,,8490
M1K,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with relatives,,,,1910
M1K,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with non-relatives only,,,,1970
M1K,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living alone,,,,4620
M1K,Household and dwelling characteristics,Total number of persons in private households,Number of census family persons,,,,,38625
M1K,Household and dwelling characteristics,Average number of persons per census family,,,,,,3
M1K,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,,,,,6390
M1K,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,,,,,2245
M1K,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with relatives,,,,575
M1K,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with non-relatives only,,,,170
M1K,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living alone,,,,1495
M1K,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of census family persons aged 65 years and over,,,,,4140
M1K,Household and dwelling characteristics,Total number of private households by household type,,,,,,17690
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,,,,,12175
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,,,,10010
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,,,7300
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,Without children,,2700
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,With children,,4600
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Lone-parent-family households,,,2710
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,,,,2165
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,,,1395
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,,930
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,Without children,260
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,With children,670
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Lone-parent-family households,,465
M1K,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,Two-or-more-family households,,,765
M1K,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,,,,,5520
M1K,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,One-person households,,,,4620
M1K,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,Two-or-more-person households,,,,900
M1K,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,,,,,,17690
M1K,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Single-detached house,,,,,5250
