Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M4B,Population and dwelling counts,Population in 2006,,,,,,
M4B,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4B,Population and dwelling counts,Total private dwellings,,,,,,7820
M4B,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,7555
M4B,Population and dwelling counts,Population density per square kilometre,,,,,,
M4B,Population and dwelling counts,Land area (square km),,,,,,
M4C,Population and dwelling counts,Population in 2011,,,,,,45822
M4C,Population and dwelling counts,Population in 2006,,,,,,
M4C,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4C,Population and dwelling counts,Total private dwellings,,,,,,20005
M4C,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,19319
M4C,Population and dwelling counts,Population density per square kilometre,,,,,,
M4C,Population and dwelling counts,Land area (square km),,,,,,
M4E,Population and dwelling counts,Population in 2011,,,,,,24598
M4E,Population and dwelling counts,Population in 2006,,,,,,
M4E,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4E,Population and dwelling counts,Total private dwellings,,,,,,11346
M4E,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,10767
M4E,Population and dwelling counts,Population density per square kilometre,,,,,,
M4E,Population and dwelling counts,Land area (square km),,,,,,
M4G,Population and dwelling counts,Population in 2011,,,,,,18030
M4G,Population and dwelling counts,Population in 2006,,,,,,
M4G,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4G,Population and dwelling counts,Total private dwellings,,,,,,7616
M4G,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,7397
M4G,Population and dwelling counts,Population density per square kilometre,,,,,,
M4G,Population and dwelling counts,Land area (square km),,,,,,
M4H,Population and dwelling counts,Population in 2011,,,,,,18478
M4H,Population and dwelling counts,Population in 2006,,,,,,
M4H,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4H,Population and dwelling counts,Total private dwellings,,,,,,6457
M4H,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,6346
M4H,Population and dwelling counts,Population density per square kilometre,,,,,,
M4H,Population and dwelling counts,Land area (square km),,,,,,
