_id,Year,BranchCode,Registrations
744,2019,AB,7314
745,2019,ACD,1352
746,2019,AD,712
747,2019,AG,3404
748,2019,AH,842
749,2019,AL,1
750,2019,AN,1274
751,2019,AP,1000
752,2019,BB,1597
753,2019,BC,2389
754,2019,BD,909
755,2019,BE,1887
756,2019,BF,3112
757,2019,BKONE,114
758,2019,BKTWO,21
759,2019,BL,4130
760,2019,BR,2858
761,2019,BRW,2625
762,2019,BUR,1130
763,2019,CC,1074
764,2019,CE,2120
765,2019,CED,4849
766,2019,CH,3798
767,2019,CL,14523
768,2019,CS,1462
769,2019,DA,1555
770,2019,DM,2137
771,2019,DO,1796
772,2019,DP,2334
773,2019,DR,1282
774,2019,DS,22
775,2019,DT,560
776,2019,DU,1442
777,2019,EA,3621
778,2019,EB,512
779,2019,EG,731
780,2019,EN,2582
781,2019,ES,2799
782,2019,FH,1091
783,2019,FO,4769
784,2019,FP,1204
785,2019,FV,7751
786,2019,GE,832
787,2019,GHP,851
788,2019,GW,342
789,2019,HB,926
790,2019,HC,1116
791,2019,HIL,980
792,2019,HLS,139
793,2019,HP,1874
794,2019,HS,685
795,2019,HW,669
796,2019,JD,1755
797,2019,JO,896
798,2019,JS,1781
799,2019,KE,1568
800,2019,LB,899
801,2019,LD,1
802,2019,LE,1530
803,2019,LO,2157
804,2019,LS,3362
805,2019,MA,1202
806,2019,MAL,3332
807,2019,MAS,1819
808,2019,MCG,1680
809,2019,MD,1027
810,2019,MI,1129
811,2019,MP,776
812,2019,MRV,1505
813,2019,MS,1528
814,2019,ND,4118
815,2019,NE,555
816,2019,NT,788
817,2019,OV,939
818,2019,PA,2105
819,2019,PE,548
820,2019,PK,2068
821,2019,PL,1102
822,2019,PM,1176
823,2019,PU,1076
824,2019,PV,681
825,2019,QS,722
826,2019,RD,1466
827,2019,RI,3800
828,2019,RN,2536
829,2019,RX,514
830,2019,SA,2158
831,2019,SB,132
832,2019,SC,2836
833,2019,SI,254
834,2019,SJ,2297
835,2019,SL,2550
836,2019,SP,1083
837,2019,ST,1570
838,2019,SW,133
839,2019,SWS,1955
840,2019,TA,545
