Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
M1H,Family characteristics,Total - Private households by household size - 100% data,5 or more persons,,,,,1035
M1H,Family characteristics,Number of persons in private households,,,,,,24155
M1H,Family characteristics,Average household size,,,,,,2.7
M1H,Family characteristics,Total - Census families in private households by family size - 100% data,,,,,,6720
M1H,Family characteristics,Total - Census families in private households by family size - 100% data,2 persons,,,,,3035
M1H,Family characteristics,Total - Census families in private households by family size - 100% data,3 persons,,,,,1755
M1H,Family characteristics,Total - Census families in private households by family size - 100% data,4 persons,,,,,1385
M1H,Family characteristics,Total - Census families in private households by family size - 100% data,5 or more persons,,,,,545
M1H,Family characteristics,Average size of census families,,,,,,2.9
M1H,Family characteristics,Total number of census families in private households - 100% data,,,,,,6720
M1H,Family characteristics,Total number of census families in private households - 100% data,Total couple families,,,,,5175
M1H,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Married couples,,,,4730
M1H,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Common-law couples,,,,440
M1H,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,,,,,1550
M1H,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Female parent,,,,1325
M1H,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Male parent,,,,225
M1H,Family characteristics,Total - Couple census families in private households - 100% data,,,,,,5170
M1H,Family characteristics,Total - Couple census families in private households - 100% data,Couples without children,,,,,2030
M1H,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,,,,,3140
M1H,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,1 child,,,,1365
M1H,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,2 children,,,,1270
M1H,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,3 or more children,,,,510
M1H,Family characteristics,Total - Lone-parent census families in private households - 100% data,,,,,,1545
M1H,Family characteristics,Total - Lone-parent census families in private households - 100% data,1 child,,,,,1000
M1H,Family characteristics,Total - Lone-parent census families in private households - 100% data,2 children,,,,,395
M1H,Family characteristics,Total - Lone-parent census families in private households - 100% data,3 or more children,,,,,150
M1H,Family characteristics,Total - Persons not in census families in private households - 100% data,,,,,,4375
M1J,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,12275
M1J,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,,,,,2905
M1J,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,,,,,6930
M1J,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,,,,,2435
M1J,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Semi-detached house,,,,215
M1J,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Row house,,,,640
M1J,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment or flat in a duplex,,,,1170
M1J,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment in a building that has fewer than five storeys,,,,400
M1J,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Other single-attached house,,,,10
M1J,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,,,,,0
M1J,Family characteristics,Total - Private households by household size - 100% data,,,,,,12275
M1J,Family characteristics,Total - Private households by household size - 100% data,1 person,,,,,2465
M1J,Family characteristics,Total - Private households by household size - 100% data,2 persons,,,,,3240
M1J,Family characteristics,Total - Private households by household size - 100% data,3 persons,,,,,2380
M1J,Family characteristics,Total - Private households by household size - 100% data,4 persons,,,,,2230
M1J,Family characteristics,Total - Private households by household size - 100% data,5 or more persons,,,,,1960
M1J,Family characteristics,Number of persons in private households,,,,,,36155
M1J,Family characteristics,Average household size,,,,,,2.9
M1J,Family characteristics,Total - Census families in private households by family size - 100% data,,,,,,9810
M1J,Family characteristics,Total - Census families in private households by family size - 100% data,2 persons,,,,,3820
M1J,Family characteristics,Total - Census families in private households by family size - 100% data,3 persons,,,,,2495
M1J,Family characteristics,Total - Census families in private households by family size - 100% data,4 persons,,,,,2225
M1J,Family characteristics,Total - Census families in private households by family size - 100% data,5 or more persons,,,,,1270
M1J,Family characteristics,Average size of census families,,,,,,3.1
M1J,Family characteristics,Total number of census families in private households - 100% data,,,,,,9810
M1J,Family characteristics,Total number of census families in private households - 100% data,Total couple families,,,,,6855
M1J,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Married couples,,,,6205
M1J,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Common-law couples,,,,655
M1J,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,,,,,2955
M1J,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Female parent,,,,2570
M1J,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Male parent,,,,385
M1J,Family characteristics,Total - Couple census families in private households - 100% data,,,,,,6855
M1J,Family characteristics,Total - Couple census families in private households - 100% data,Couples without children,,,,,2175
M1J,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,,,,,4680
M1J,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,1 child,,,,1645
M1J,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,2 children,,,,1910
M1J,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,3 or more children,,,,1125
M1J,Family characteristics,Total - Lone-parent census families in private households - 100% data,,,,,,2955
M1J,Family characteristics,Total - Lone-parent census families in private households - 100% data,1 child,,,,,1645
M1J,Family characteristics,Total - Lone-parent census families in private households - 100% data,2 children,,,,,845
M1J,Family characteristics,Total - Lone-parent census families in private households - 100% data,3 or more children,,,,,460
M1J,Family characteristics,Total - Persons not in census families in private households - 100% data,,,,,,5285
M1K,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,17930
M1K,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,,,,,5130
M1K,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,,,,,8135
M1K,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,,,,,4665
M1K,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Semi-detached house,,,,930
M1K,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Row house,,,,425
M1K,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment or flat in a duplex,,,,1700
M1K,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment in a building that has fewer than five storeys,,,,1415
M1K,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Other single-attached house,,,,190
M1K,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,,,,,0
M1K,Family characteristics,Total - Private households by household size - 100% data,,,,,,17930
M1K,Family characteristics,Total - Private households by household size - 100% data,1 person,,,,,4715
M1K,Family characteristics,Total - Private households by household size - 100% data,2 persons,,,,,4935
M1K,Family characteristics,Total - Private households by household size - 100% data,3 persons,,,,,3205
M1K,Family characteristics,Total - Private households by household size - 100% data,4 persons,,,,,2890
M1K,Family characteristics,Total - Private households by household size - 100% data,5 or more persons,,,,,2185
M1K,Family characteristics,Number of persons in private households,,,,,,48300
M1K,Family characteristics,Average household size,,,,,,2.7
M1K,Family characteristics,Total - Census families in private households by family size - 100% data,,,,,,13190
M1K,Family characteristics,Total - Census families in private households by family size - 100% data,2 persons,,,,,5715
M1K,Family characteristics,Total - Census families in private households by family size - 100% data,3 persons,,,,,3330
M1K,Family characteristics,Total - Census families in private households by family size - 100% data,4 persons,,,,,2865
M1K,Family characteristics,Total - Census families in private households by family size - 100% data,5 or more persons,,,,,1275
M1K,Family characteristics,Average size of census families,,,,,,3
M1K,Family characteristics,Total number of census families in private households - 100% data,,,,,,13185
